"","long","lat","order","hole","piece","id","group","NUTS_ID","LEVL_CODE","CNTR_CODE","NUTS_NAME","FID","country"
"1",-781904.93297627,5389179.23856389,1,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"2",-699654.04573729,5393082.71591036,2,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"3",-649695.27714516,5404088.53282336,3,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"4",-629342.15777214,5390075.17412204,4,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"5",-598947.02457385,5390062.90044578,5,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"6",-576038.64578654,5378350.49892939,6,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"7",-501744.86749824,5366002.52375469,7,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"8",-429309.15643418,5379617.77113797,8,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"9",-421300.89781724,5372869.66664576,9,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"10",-399121.95774871,5382828.86847483,10,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"11",-350635.40998535,5359886.69108863,11,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"12",-307023.64780609,5373416.37881392,12,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"13",-287367.72062313,5364050.15906626,13,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"14",-279582.96380875,5360345.46811986,14,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"15",-268296.67875432,5354973.0820553,15,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"16",-241647.70263469,5350680.77101232,16,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"17",-232814.37766204,5352483.63622482,17,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"18",-198591.91508865,5359467.69454883,18,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"19",-192244.90867578,5351154.37121031,19,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"20",-154479.77573949,5345355.1947269,20,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"21",-154479.77573949,5334424.94732034,21,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"22",-157783.3770101,5325356.92663017,22,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"23",-163345.34724086,5318666.36569334,23,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"24",-160087.33589017,5313383.40753221,24,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"25",-154479.77573949,5311437.48791349,25,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"26",-145688.70483897,5317730.10056269,26,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"27",-125126.53900386,5310199.24831001,27,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"28",-80560.72435398,5293896.87544601,28,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"29",-76827.91066652,5290493.180919,29,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"30",-63316.61512994,5278185.2355844,30,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"31",-34841.81831481,5283152.58038693,31,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"32",-1352.130308,5260507.01576872,32,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"33",29120.83933894,5260519.12000681,33,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"34",53124.4881537,5260529.71122794,34,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"35",73403.10692587,5259157.4910193,35,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"36",74505.04864892,5275951.09211119,36,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"37",79453.2228846,5283795.6771136,37,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"38",95429.70994489,5279570.85391951,38,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"39",100792.64125696,5277769.89318468,39,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"40",147071.96972643,5262239.59349534,40,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"41",156850.45157555,5250301.12777163,41,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"42",160406.46532964,5245962.93593266,42,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"43",163291.97367607,5221871.06245675,43,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"44",191900.20440318,5230978.24047697,44,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"45",192479.529971,5229168.46698074,45,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"46",213092.84547237,5223364.45318313,46,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"47",220810.88533076,5215283.97488532,47,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"48",226306.13860554,5209535.13655207,48,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"49",238460.85603706,5215283.97488532,49,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"50",248500.64596379,5220035.91687816,50,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"51",255311.33522077,5217448.03362337,51,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"52",261004.51546497,5215283.97488532,52,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"53",283920.67789715,5206581.54213996,53,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"54",301876.43465171,5215283.97488532,54,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"55",320632.79487812,5224384.79643211,55,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"56",353021.65311115,5220572.260797,56,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"57",355944.96773263,5215283.97488532,57,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"58",364792.74804574,5199209.85562309,58,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"59",350897.83001223,5188077.49139359,59,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"60",347436.33194579,5185307.6999127,60,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"61",354722.93548881,5152943.8138739,61,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"62",356883.45291351,5143367.25947495,62,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"63",312383.24327036,5105695.6437736,63,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"64",308956.21563117,5102800.87045055,64,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"65",300970.19599956,5098734.78102933,65,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"66",255311.33522077,5075521.30555875,66,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"67",231642.38313521,5050155.33486623,67,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"68",182951.23670683,5035597.48958364,68,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"69",108751.97410618,5011093.57338444,69,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"70",100792.64125696,5001994.35789598,70,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"71",80740.86013515,4979110.13981331,71,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"72",93022.33978304,4960283.27132294,72,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"73",67779.97948546,4949949.5774281,73,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"74",57292.07400434,4936694.87329843,74,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"75",29120.83933894,4894988.12091773,75,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"76",362.49546086,4852593.96929694,76,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"77",-20956.9078247,4820218.93254458,77,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"78",-36242.87439053,4775868.73553857,78,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"79",-22571.45815958,4728008.6887917,79,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"80",-4183.15314037,4700148.55755038,80,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
"81",15989.83045149,4691933.60181629,81,FALSE,"1","0","0.1","ES","0","ES","ESPAÑA","ES","Spain"
